time,MB,MC,MD,ME
3.9e-05,0.122004,0.0992,0.16776,0.16016
0.020029,0.122004,0.1072,0.16776,0.16016
0.039999,0.129636,0.1072,0.17536,0.16776
0.059999,0.129636,0.1072,0.17536,0.16776
0.079999,0.13726,0.1144,0.18304,0.17544
0.099999,0.13726,0.1144,0.18304,0.17544
0.120019,0.13726,0.1144,0.19064,0.17544
0.139999,0.144884,0.1224,0.19824,0.18304
0.159999,0.144884,0.1224,0.19824,0.18304
0.179999,0.152508,0.1224,0.20592,0.19064
0.199999,0.152508,0.1296,0.20592,0.19064
0.220019,0.152508,0.1296,0.21352,0.19832
0.239999,0.160132,0.1296,0.21352,0.19832
0.260019,0.160132,0.1376,0.22112,0.20592
0.280019,0.160132,0.1376,0.22112,0.20592
0.300039,0.167764,0.1448,0.2288,0.21352
0.320019,0.167764,0.1448,0.2288,0.21352
0.340019,0.175388,0.1448,0.2364,0.22112
0.360029,0.175388,0.1528,0.2364,0.22112
0.379999,0.175388,0.1528,0.244,0.2288
0.399999,0.183012,0.1528,0.244,0.2288
0.419999,0.183012,0.16,0.25168,0.2364
0.439999,0.190636,0.16,0.25928,0.2364
0.459999,0.190636,0.16,0.25928,0.244
0.479999,0.190636,0.168,0.25928,0.244
0.499999,0.19826,0.168,0.26688,0.25168
0.519999,0.19826,0.168,0.27456,0.25168
0.539999,0.19826,0.176,0.27456,0.25928
0.559999,0.19826,0.176,0.28216,0.25928
0.579999,0.205892,0.176,0.28216,0.25928
0.599999,0.213516,0.1832,0.28976,0.26688
0.620019,0.213516,0.1832,0.28976,0.26688
0.640019,0.213516,0.1832,0.29744,0.27456
0.660039,0.213516,0.1912,0.29744,0.27456
0.680019,0.22114,0.1912,0.30504,0.28216
0.700039,0.22114,0.1912,0.30504,0.28216
0.720019,0.22114,0.1984,0.31264,0.28976
0.740019,0.228764,0.1984,0.31264,0.28976
0.759999,0.228764,0.2064,0.32024,0.28976
0.779999,0.228764,0.2064,0.32024,0.29744
0.799999,0.236388,0.2064,0.32792,0.30504
0.819999,0.236388,0.2136,0.32792,0.30504
0.839999,0.244012,0.2136,0.33552,0.31264
0.859999,0.244012,0.2136,0.33552,0.31264
0.879999,0.244012,0.2216,0.34312,0.31264
0.899999,0.251644,0.2216,0.3508,0.32032
0.920019,0.251644,0.2216,0.3508,0.32792
0.939999,0.259268,0.2288,0.3584,0.32792
0.960019,0.259268,0.2288,0.3584,0.32792
0.980039,0.259268,0.2288,0.366,0.33552
1.000019,0.266892,0.2368,0.366,0.33552
1.020019,0.266892,0.2368,0.37368,0.3432
1.040019,0.266892,0.2368,0.37368,0.3432
1.059999,0.274516,0.2368,0.38128,0.3432
1.079999,0.274516,0.2368,0.38888,0.3584
1.100029,0.28214,0.244,0.38888,0.3584
1.120029,0.28214,0.252,0.39656,0.3584
1.140019,0.28214,0.252,0.39656,0.3584
1.159999,0.289772,0.252,0.40416,0.36608
1.180019,0.289772,0.252,0.40416,0.36608
1.200029,0.297396,0.252,0.41176,0.37368
1.219999,0.297396,0.2592,0.41944,0.37368
1.239999,0.297396,0.2592,0.41944,0.38128
1.259999,0.30502,0.2672,0.42704,0.38888
1.279999,0.30502,0.2672,0.42704,0.38888
1.299999,0.312644,0.2672,0.43464,0.38888
1.319999,0.312644,0.2744,0.43464,0.39656
1.339999,0.312644,0.2744,0.44232,0.40416
1.359999,0.312644,0.2744,0.44232,0.40416
1.379999,0.312644,0.2824,0.44992,0.40416
1.399999,0.320268,0.2824,0.44992,0.41176
1.419999,0.320268,0.2824,0.45752,0.41944
1.439999,0.3279,0.2904,0.45752,0.41944
1.459999,0.3279,0.2904,0.4652,0.41944
1.479999,0.3279,0.2904,0.4728,0.42704
1.499999,0.335524,0.2976,0.4728,0.42704
1.519999,0.335524,0.2976,0.4804,0.43464
1.540039,0.343148,0.2976,0.4804,0.43464
1.559999,0.343148,0.3056,0.48808,0.44232
1.580019,0.343148,0.3056,0.48808,0.44232
1.600039,0.350772,0.3056,0.49568,0.44992
1.620019,0.350772,0.3128,0.49568,0.44992
1.640039,0.350772,0.3128,0.50328,0.45752
1.660019,0.358396,0.3128,0.51088,0.45752
1.679999,0.358396,0.3208,0.51088,0.4652
1.699999,0.358396,0.3208,0.51856,0.4728
1.719999,0.366028,0.328,0.51856,0.4728
1.739999,0.366028,0.328,0.52616,0.4728
1.759999,0.373652,0.328,0.52616,0.4804
1.779999,0.373652,0.336,0.52616,0.4804
1.799999,0.373652,0.336,0.53376,0.4804
1.820019,0.373652,0.336,0.53376,0.48808
1.839999,0.373652,0.3432,0.54144,0.48808
1.860019,0.381276,0.3432,0.54144,0.49568
1.879999,0.381276,0.3432,0.54144,0.49568
1.899999,0.3889,0.3512,0.54904,0.50328
1.919999,0.3889,0.3512,0.55664,0.50328
1.939999,0.3889,0.3512,0.55664,0.51096
1.959999,0.396524,0.3584,0.56432,0.51096
1.979999,0.404148,0.3584,0.56432,0.51856
1.999959,0.404148,0.3584,0.57192,0.51856
2.020059,0.404148,0.3664,0.57192,0.52616
2.040059,0.404148,0.3664,0.57952,0.52616
2.060059,0.320268,0.244,0.91504,1.41072
2.080059,0.13726,0.0232,1.46408,2.60792
2.099959,0.007626,-0.1216,1.73096,3.32472
2.120059,-0.144885,-0.3128,2.19616,4.43808
2.139959,-0.297395,-0.488,2.60032,5.29976
2.160059,-0.44228,-0.6552,2.95872,6.27584
2.179959,-0.587164,-0.8384,3.39336,7.22896
2.199959,-0.739674,-1.0136,3.77464,8.15928
2.219959,-0.869308,-1.1896,4.20168,9.12776
2.240059,-1.029444,-1.372,4.57528,10.06568
2.260059,-1.166703,-1.54,4.97184,11.01888
2.280059,-1.319213,-1.7152,5.39128,11.9644
2.299959,-1.471723,-1.8984,5.76488,12.9176
2.320059,-1.616604,-2.0736,6.17664,13.8632
2.340059,-1.769116,-2.2416,6.55032,14.8164
2.359959,-1.914004,-2.432,6.96208,15.75432
2.380059,-2.066516,-2.6,7.36624,16.70752
2.400059,-2.203772,-2.7752,7.75512,17.64544
2.419959,-2.371532,-2.9584,8.15928,18.59864
2.488459,-2.867188,-3.5536,9.50904,21.8776
2.508459,-3.0197,-3.7288,9.90552,22.77744
2.528459,-3.164588,-3.912,10.30968,23.7916
2.548459,-3.3171,-4.0792,10.69856,24.7372
2.568459,-3.469604,-4.2624,11.09512,25.68272
2.588459,-3.606868,-4.4376,11.49928,26.57488
2.608459,-3.774628,-4.6056,11.88816,27.5052
2.628459,-3.911884,-4.7888,12.28472,28.4432
2.648459,-4.064396,-4.964,12.6812,29.404
2.668459,-4.209284,-5.1392,13.07016,30.34952
2.688459,-4.36942,-5.3224,13.47424,31.27224
2.708459,-4.506676,-5.4904,13.8632,32.2788
2.728459,-4.659188,-5.6728,14.25208,33.19384
2.748459,-4.804068,-5.8488,14.65624,34.12416
2.768459,-4.95658,-6.016,15.05272,35.08496
2.788459,-5.101468,-6.2072,15.44168,36.07632
2.808559,-5.253972,-6.3744,15.83816,36.99136
2.828459,-5.406484,-6.5504,16.24232,37.92928
2.848459,-5.543748,-6.7328,16.63888,38.8672
2.868459,-5.711508,-6.9008,17.02776,39.86616
2.888459,-5.848764,-7.084,17.42432,40.82696
2.908459,-6.001276,-7.2592,17.8056,41.70392
2.928459,-6.146156,-7.4272,18.20968,42.65712
2.948459,-6.298668,-7.6104,18.60624,43.65608
2.968459,-6.443556,-7.7928,18.99512,44.55584
2.988459,-6.603692,-7.9608,19.40696,45.51664
3.008459,-6.748572,-8.144,19.79584,46.46224
3.028459,-6.89346,-8.3112,20.19232,47.40016
3.048459,-7.053596,-8.4872,20.58888,48.37624
3.068459,-7.190852,-8.6696,20.97776,49.36752
3.088559,-7.343364,-8.8376,21.37432,50.30552
3.108459,-7.488252,-9.0208,21.7708,51.20528
3.128459,-7.648388,-9.196,22.15208,52.18896
3.148559,-7.785644,-9.3712,22.54104,53.10408
3.168459,-7.938156,-9.5544,22.9604,54.042
3.188459,-8.09066,-9.7296,23.34168,55.0104
3.208459,-8.235548,-9.8976,23.73824,55.9636
3.228459,-8.38806,-10.088,24.1576,56.9092
3.248459,-8.53294,-10.256,24.53128,57.85472
3.268459,-8.693076,-10.4392,24.91256,58.8384
3.288459,-8.83034,-10.6144,25.32432,59.76112
3.308459,-8.9905,-10.7824,25.698,60.69128
3.328459,-9.1277,-10.9656,26.08688,61.63688
3.348459,-9.28026,-11.1408,26.49104,62.61288
3.368459,-9.43274,-11.308,26.87232,63.48968
3.388459,-9.57762,-11.4992,27.28408,64.38248
3.408459,-9.73018,-11.6664,27.68064,65.36568
3.428459,-9.87506,-11.8424,28.06184,66.38808
3.448459,-10.02754,-12.0248,28.48128,67.31048
3.468459,-10.17242,-12.1928,28.87016,68.24088
3.488459,-10.3249,-12.376,29.25144,69.16328
3.508459,-10.46986,-12.5512,29.6556,70.15448
3.528459,-10.62234,-12.7192,30.04448,71.10008
3.548559,-10.76722,-12.9096,30.41816,71.99208
3.568459,-10.92738,-13.0776,30.82992,72.94568
3.588459,-11.06458,-13.2528,31.23408,73.93688
3.608459,-11.21714,-13.436,31.60776,74.86728
3.628459,-11.36962,-13.604,32.02712,75.79768
3.648459,-11.5145,-13.7864,32.4008,76.66648
3.668459,-11.66706,-13.9624,32.78968,77.67368
3.688459,-11.81194,-14.1376,33.21672,78.63448
3.708459,-11.97202,-14.3208,33.57512,79.55688
3.728459,-12.1093,-14.488,33.964,80.47928
3.748459,-12.26178,-14.664,34.38344,81.45608
3.768459,-12.40674,-14.8464,34.74184,82.40088
3.788459,-12.55922,-15.0144,35.146,83.35448
3.808459,-12.7117,-15.1976,35.56536,84.27688
3.828459,-12.85658,-15.3808,35.93136,85.23768
3.848459,-13.01674,-15.5408,36.32032,86.15288
3.868459,-13.14634,-15.7312,36.73208,87.10648
3.888459,-13.3141,-15.9064,37.09808,88.11288
3.908559,-13.45138,-16.0744,37.48704,89.02008
3.928459,-13.61154,-16.2576,37.9064,89.93528
3.948459,-13.74882,-16.4328,38.2724,90.89608
3.968559,-13.9013,-16.608,38.68424,91.84168
3.988459,-14.05378,-16.7912,39.1036,92.72648
4.008459,-14.19866,-16.9592,39.44672,93.67928
4.028459,-14.35122,-17.1416,39.84328,94.64808
4.048459,-14.47322,-17.2944,40.20928,95.46408
4.068459,-14.41218,-17.2256,40.20168,95.40248
4.088459,-14.43506,-17.2488,40.20168,95.40248
4.108459,-14.43506,-17.2488,40.20168,95.40248
4.128459,-14.42746,-17.2488,40.20168,95.40248
4.148459,-14.43506,-17.2488,40.20168,95.40248
4.168459,-14.42746,-17.2488,40.20168,95.40248
4.188459,-14.43506,-17.2488,40.20168,95.40248
4.208459,-14.43506,-17.2488,40.20168,95.40248
4.228459,-14.43506,-17.2488,40.20168,95.40248
4.248459,-14.43506,-17.2488,40.20168,95.40248
4.268459,-14.43506,-17.2488,40.20168,95.40248
4.288459,-14.43506,-17.2488,40.20168,95.40248
4.308459,-14.43506,-17.2488,40.20168,95.40248
4.328459,-14.43506,-17.2488,40.20168,95.40248
4.348459,-14.43506,-17.2488,40.20168,95.40248
4.368459,-14.43506,-17.2488,40.20168,95.40248
4.388459,-14.43506,-17.2488,40.20168,95.40248
4.408459,-14.43506,-17.2488,40.20168,95.40248
4.428459,-14.43506,-17.2488,40.20168,95.40248
4.448459,-14.43506,-17.2488,40.20168,95.40248
4.468459,-14.43506,-17.2488,40.20168,95.40248
4.488459,-14.43506,-17.2488,40.20168,95.40248
4.508459,-14.43506,-17.2488,40.20168,95.40248
4.528459,-14.43506,-17.2488,40.20168,95.40248
4.548459,-14.43506,-17.2488,40.20168,95.40248
4.568459,-14.43506,-17.2488,40.20168,95.40248
4.588459,-14.43506,-17.2488,40.20168,95.40248
4.608459,-14.43506,-17.2488,40.20168,95.40248
4.628459,-14.43506,-17.2488,40.20168,95.40248
4.648459,-14.43506,-17.2488,40.20168,95.40248
4.668459,-14.43506,-17.2488,40.20168,95.40248
4.688459,-14.43506,-17.2488,40.20168,95.40248
4.708459,-14.43506,-17.2488,40.20168,95.40248
4.728459,-14.43506,-17.2488,40.20168,95.40248
4.748459,-14.43506,-17.2488,40.20168,95.40248
4.768459,-14.43506,-17.2488,40.20168,95.40248
4.788459,-14.43506,-17.2488,40.20168,95.40248
4.808459,-14.43506,-17.2488,40.20168,95.40248
4.828559,-14.43506,-17.2488,40.20168,95.40248
4.848459,-14.43506,-17.2488,40.20168,95.40248
4.868459,-14.43506,-17.2488,40.20168,95.40248
4.888459,-14.43506,-17.2488,40.20168,95.40248
4.908459,-14.43506,-17.2488,40.20168,95.40248
4.928459,-14.43506,-17.2488,40.20168,95.40248
4.948459,-14.43506,-17.2488,40.20168,95.40248
4.968459,-14.43506,-17.2488,40.20168,95.40248
4.988459,-14.43506,-17.2488,40.20168,95.40248
5.008459,-14.43506,-17.2488,40.20168,95.40248
5.028459,-14.43506,-17.2488,40.20168,95.40248
5.048459,-14.43506,-17.2488,40.20168,95.40248
5.068459,-14.43506,-17.2488,40.20168,95.40248
5.088459,-14.43506,-17.2488,40.20168,95.40248
5.108459,-14.43506,-17.2488,40.20168,95.40248
5.128459,-14.43506,-17.2488,40.20168,95.40248
5.148459,-14.43506,-17.2488,40.20168,95.40248
5.168459,-14.43506,-17.2488,40.20168,95.40248
5.188459,-14.43506,-17.2488,40.20168,95.40248
5.208559,-14.43506,-17.2488,40.20168,95.40248
5.228459,-14.43506,-17.2488,40.20168,95.40248
5.248459,-14.43506,-17.2488,40.20168,95.40248
5.268459,-14.43506,-17.2488,40.20168,95.40248
5.288459,-14.43506,-17.2488,40.20168,95.40248
5.308459,-14.43506,-17.2488,40.20168,95.40248
5.328459,-14.43506,-17.2488,40.20168,95.40248
5.348459,-14.43506,-17.2488,40.20168,95.40248
5.368459,-14.43506,-17.2488,40.20168,95.40248
5.388459,-14.43506,-17.2488,40.20168,95.40248
5.408559,-14.43506,-17.2488,40.20168,95.40248
5.428459,-14.43506,-17.2488,40.20168,95.40248
5.448459,-14.43506,-17.2488,40.20168,95.40248
5.468459,-14.43506,-17.2488,40.20168,95.40248
5.488459,-14.43506,-17.2488,40.20168,95.40248
5.508459,-14.43506,-17.2488,40.20168,95.40248
5.528459,-14.43506,-17.2488,40.20168,95.40248
5.548459,-14.43506,-17.2488,40.20168,95.40248
5.568459,-14.43506,-17.2488,40.20168,95.40248
5.588459,-14.43506,-17.2488,40.20168,95.40248
5.608459,-14.43506,-17.2488,40.20168,95.40248
5.628459,-14.43506,-17.2488,40.20168,95.40248
5.648459,-14.43506,-17.2488,40.20168,95.40248
5.668459,-14.43506,-17.2488,40.20168,95.40248
5.688459,-14.43506,-17.2488,40.20168,95.40248
5.708459,-14.43506,-17.2488,40.20168,95.40248
5.728459,-14.43506,-17.2488,40.20168,95.40248
5.748459,-14.43506,-17.2488,40.20168,95.40248
5.768459,-14.43506,-17.2488,40.20168,95.40248
5.788459,-14.43506,-17.2488,40.20168,95.40248
5.808459,-14.43506,-17.2488,40.20168,95.40248
5.828459,-14.43506,-17.2488,40.20168,95.40248
5.848559,-14.43506,-17.2488,40.20168,95.40248
5.868459,-14.43506,-17.2488,40.20168,95.40248
5.888459,-14.43506,-17.2488,40.20168,95.40248
5.908459,-14.43506,-17.2488,40.20168,95.40248
5.928459,-14.43506,-17.2488,40.20168,95.40248
5.948459,-14.43506,-17.2488,40.20168,95.40248
5.968459,-14.43506,-17.2488,40.20168,95.40248
5.988459,-14.43506,-17.2488,40.20168,95.40248
6.008459,-14.43506,-17.2488,40.20168,95.40248
6.028459,-14.43506,-17.2488,40.20168,95.40248
6.048459,-14.41218,-17.2256,40.1788,95.31848
6.068459,-14.20634,-16.9896,39.77464,94.14488
6.088459,-14.07666,-16.8368,39.37048,93.27528
6.108459,-13.92418,-16.6768,39.01976,92.36008
6.128459,-13.7717,-16.4864,38.58504,91.34568
6.148459,-13.62682,-16.3256,38.21904,90.46888
6.168459,-13.47426,-16.1352,37.80728,89.47048
6.188459,-13.32938,-15.9672,37.4184,88.55528
6.208459,-13.1769,-15.792,37.02944,87.60168
6.228459,-13.03202,-15.6168,36.62536,86.64088
6.248459,-12.87946,-15.4488,36.2364,85.70328
6.268459,-12.73458,-15.2584,35.83992,84.74968
6.288459,-12.5745,-15.0904,35.43576,83.79688
6.308459,-12.43722,-14.9232,35.0392,82.85128
6.328459,-12.28466,-14.732,34.64272,81.89768
6.348459,-12.13978,-14.5568,34.23856,80.95208
6.368459,-11.9797,-14.3736,33.8496,79.99928
6.388459,-11.83482,-14.2064,33.45312,79.04568
6.408459,-11.68994,-14.0456,33.05656,78.10008
6.428459,-11.52978,-13.848,32.6524,77.15528
6.448459,-11.4001,-13.68,32.26352,76.19448
6.468459,-11.23234,-13.4896,31.85936,75.24088
6.488459,-11.09514,-13.3064,31.46288,74.29528
6.508559,-10.93498,-13.1464,31.07392,73.34248
6.528459,-10.7977,-12.9632,30.66976,72.38888
6.548459,-10.63762,-12.788,30.27328,71.44328
6.568459,-10.49266,-12.62,29.87672,70.49768
6.588459,-10.34778,-12.4144,29.48024,69.53688
6.608459,-10.1953,-12.2464,29.08368,68.58408
6.628459,-10.05042,-12.0784,28.67952,67.63848
6.648459,-9.89794,-11.8952,28.29064,66.68488
6.668459,-9.75306,-11.728,27.88648,65.73208
6.688459,-9.5929,-11.5368,27.49,64.78648
6.708459,-9.45562,-11.3616,27.09344,63.83288
6.728459,-9.30314,-11.1864,26.69688,62.88008
6.748459,-9.15058,-10.996,26.3004,61.92648
6.768459,-9.0057,-10.828,25.90384,60.98088
6.788459,-8.86082,-10.6448,25.49968,60.0204
6.808459,-8.693076,-10.4696,25.1032,59.0672
6.828459,-8.55582,-10.3016,24.71424,58.12928
6.848459,-8.410932,-10.1112,24.31016,57.16848
6.868459,-8.243172,-9.936,23.9136,56.22288
6.888459,-8.105916,-9.768,23.51704,55.26968
6.908459,-7.94578,-9.5776,23.12056,54.30888
6.928559,-7.816148,-9.4248,22.724,53.37096
6.948459,-7.656012,-9.2344,22.32752,52.41776
6.968459,-7.511124,-9.0512,21.92336,51.46456
6.988459,-7.358612,-8.876,21.5268,50.51136
7.008459,-7.198476,-8.6928,21.13032,49.55816
7.028459,-7.06122,-8.5248,20.73376,48.61264
7.048459,-6.908708,-8.3496,20.3372,47.65944
7.068459,-6.763828,-8.1664,19.93312,46.69864
7.088459,-6.61894,-7.9992,19.54416,45.76072
7.108459,-6.466428,-7.816,19.14,44.79984
7.128459,-6.313924,-7.6408,18.74352,43.85432
7.148459,-6.169036,-7.4728,18.34696,42.90112
7.168459,-6.024148,-7.2896,17.95048,41.94792
7.188459,-5.871644,-7.1216,17.54632,41.0024
7.208459,-5.726756,-6.9392,17.15736,40.04152
7.228459,-5.56662,-6.756,16.75328,39.0884
7.248459,-5.42174,-6.588,16.36432,38.1428
7.268459,-5.269228,-6.4128,15.96016,37.1896
7.288459,-5.131964,-6.2296,15.56368,36.2364
7.308459,-4.971828,-6.0624,15.16712,35.28328
7.328459,-4.834572,-5.8792,14.76296,34.33768
7.348459,-4.68206,-5.704,14.36648,33.37688
7.368459,-4.53718,-5.528,13.96992,32.43128
7.388459,-4.377044,-5.3456,13.57344,31.47808
7.408459,-4.23978,-5.1848,13.17688,30.52496
7.428459,-4.087276,-4.9944,12.78032,29.57936
7.448459,-3.934764,-4.8192,12.38384,28.63376
7.468459,-3.805132,-4.6592,11.97968,27.66536
7.488459,-3.62974,-4.468,11.58312,26.72744
7.508459,-3.492484,-4.2928,11.18664,25.76664
7.528459,-3.339972,-4.1176,10.79008,24.82104
7.548459,-3.195084,-3.9344,10.3936,23.86784
7.568459,-3.04258,-3.7664,9.98944,22.91464
7.588459,-2.897692,-3.5912,9.59288,21.96144
7.608459,-2.760436,-3.408,9.1964,21.00832
7.628459,-2.607924,-3.2408,8.79984,20.06272
7.648459,-2.455412,-3.0576,8.40328,19.10192
7.668459,-2.295276,-2.8824,8.0068,18.164
7.688459,-2.165644,-2.7144,7.61024,17.2032
7.708459,-2.005508,-2.5312,7.20608,16.25
7.728459,-1.868252,-2.356,6.8096,15.3044
7.748459,-1.708116,-2.1808,6.41304,14.3436
7.768459,-1.563228,-1.9976,6.01656,13.398
7.788459,-1.410719,-1.8224,5.62,12.45248
7.808459,-1.265834,-1.6472,5.22352,11.49168
7.828459,-1.128575,-1.464,4.81936,10.53848
7.848459,-0.96844,-1.296,4.4228,9.59288
7.868459,-0.831181,-1.1208,4.02624,8.63968
7.888459,-0.686296,-0.9376,3.62216,7.69416
7.908459,-0.549037,-0.7696,3.2332,6.73336
7.928459,-0.388901,-0.5872,2.82904,5.78016
7.948459,-0.251642,-0.4192,2.43256,4.83456
7.968459,-0.099132,-0.244,2.036,3.88904
7.988459,0.038127,-0.0528,1.63952,2.92056
8.008459,0.183012,0.1072,1.24296,1.98264
8.028459,0.343148,0.2904,0.8464,1.02184
8.048459,0.457532,0.4424,0.48808,0.19832
8.068459,0.434652,0.3664,0.67864,0.7168
8.088459,0.434652,0.3968,0.61768,0.52616
8.108459,0.434652,0.3888,0.61008,0.54144
8.128459,0.434652,0.3888,0.63296,0.5948
8.148459,0.434652,0.3888,0.61768,0.53384
8.168459,0.434652,0.3888,0.62528,0.57192
8.188459,0.434652,0.3888,0.62528,0.55664
8.257059,0.434652,0.3888,0.62528,0.55664
8.277059,0.434652,0.3888,0.62528,0.55664
8.297059,0.434652,0.3888,0.62528,0.55664
8.317059,0.434652,0.3888,0.62528,0.55664
8.337059,0.434652,0.3888,0.62528,0.55664
8.357059,0.434652,0.3888,0.62528,0.55664
8.377059,0.434652,0.3888,0.62528,0.55664
8.397059,0.434652,0.3888,0.62528,0.55664
8.417059,0.434652,0.3888,0.62528,0.55664
8.437059,0.434652,0.3888,0.62528,0.55664
8.457059,0.434652,0.3888,0.62528,0.55664
8.477059,0.434652,0.3888,0.62528,0.55664
8.497059,0.434652,0.3888,0.62528,0.55664
8.517059,0.434652,0.3888,0.62528,0.55664
8.537059,0.434652,0.3888,0.62528,0.55664
8.557059,0.434652,0.3888,0.62528,0.55664
8.577059,0.434652,0.3888,0.62528,0.55664
8.597059,0.434652,0.3888,0.62528,0.55664
8.617059,0.434652,0.3888,0.62528,0.55664
8.637059,0.434652,0.3888,0.62528,0.55664
8.657059,0.434652,0.3888,0.62528,0.55664
8.677059,0.434652,0.3888,0.62528,0.55664
8.697059,0.434652,0.3888,0.62528,0.55664
8.717059,0.434652,0.3888,0.62528,0.55664
8.737059,0.434652,0.3888,0.62528,0.55664
8.757059,0.434652,0.3888,0.62528,0.55664
8.777059,0.434652,0.3888,0.62528,0.55664
8.797059,0.434652,0.3888,0.62528,0.55664
8.817059,0.434652,0.3888,0.62528,0.55664
8.837059,0.434652,0.3888,0.62528,0.55664
8.857059,0.434652,0.3888,0.62528,0.55664
8.877059,0.434652,0.3888,0.62528,0.55664
8.897059,0.434652,0.3888,0.62528,0.55664
8.917059,0.434652,0.3888,0.62528,0.55664
8.937059,0.434652,0.3888,0.62528,0.55664
8.957059,0.434652,0.3888,0.62528,0.55664
8.977059,0.434652,0.3888,0.62528,0.55664
8.997059,0.434652,0.3888,0.62528,0.55664
9.017059,0.434652,0.3888,0.62528,0.55664
9.037059,0.434652,0.3888,0.62528,0.55664
9.057059,0.434652,0.3888,0.62528,0.55664
9.077059,0.434652,0.3888,0.62528,0.55664
9.097059,0.434652,0.3888,0.62528,0.55664
9.117059,0.434652,0.3888,0.62528,0.55664
9.137059,0.434652,0.3888,0.62528,0.55664
9.157059,0.434652,0.3888,0.62528,0.55664
9.177059,0.434652,0.3888,0.62528,0.55664
9.197059,0.434652,0.3888,0.62528,0.55664
9.217059,0.434652,0.3888,0.62528,0.55664
9.237059,0.434652,0.3888,0.62528,0.55664
9.257059,0.434652,0.3888,0.62528,0.55664
9.277059,0.434652,0.3888,0.62528,0.55664
9.297059,0.434652,0.3888,0.62528,0.55664
9.317059,0.434652,0.3888,0.62528,0.55664
9.337059,0.434652,0.3888,0.62528,0.55664
9.357059,0.434652,0.3888,0.62528,0.55664
9.377059,0.434652,0.3888,0.62528,0.55664
9.397059,0.434652,0.3888,0.62528,0.55664
9.417059,0.434652,0.3888,0.62528,0.55664
9.437059,0.434652,0.3888,0.62528,0.55664
9.457059,0.434652,0.3888,0.62528,0.55664
9.477059,0.434652,0.3888,0.62528,0.55664
9.497059,0.434652,0.3888,0.62528,0.55664
9.517059,0.434652,0.3888,0.62528,0.55664
9.537059,0.434652,0.3888,0.62528,0.55664
9.557059,0.434652,0.3888,0.62528,0.55664
9.577059,0.434652,0.3888,0.62528,0.55664
9.597059,0.434652,0.3888,0.62528,0.55664
9.617059,0.434652,0.3888,0.62528,0.55664
9.637059,0.434652,0.3888,0.62528,0.55664
9.657059,0.434652,0.3888,0.62528,0.55664
9.677059,0.434652,0.3888,0.62528,0.55664
9.697059,0.434652,0.3888,0.62528,0.55664
9.717059,0.434652,0.3888,0.62528,0.55664
9.737059,0.434652,0.3888,0.62528,0.55664
9.757059,0.434652,0.3888,0.62528,0.55664
9.777059,0.434652,0.3888,0.62528,0.55664
9.797059,0.434652,0.3888,0.62528,0.55664
9.817059,0.434652,0.3888,0.62528,0.55664
9.837059,0.434652,0.3888,0.62528,0.55664
9.857059,0.434652,0.3888,0.62528,0.55664
9.877059,0.434652,0.3888,0.62528,0.55664
9.897059,0.434652,0.3888,0.62528,0.55664
9.917059,0.434652,0.3888,0.62528,0.55664
9.937059,0.434652,0.3888,0.62528,0.55664
9.957059,0.434652,0.3888,0.62528,0.55664
9.977059,0.434652,0.3888,0.62528,0.55664
9.997059,0.434652,0.3888,0.62528,0.55664
